pose_idx,rmsd,gnina_score,cnn_score,cnn_affinity,pass_threshold
17,4.0435,12.1660,0.6230,4.7450,False
13,4.0803,11.3138,0.6492,5.8854,False
0,4.1141,-7.1975,0.8414,6.5005,False
3,4.1402,-1.0546,0.7543,4.3231,False
4,4.1506,-8.1489,0.7482,6.3929,False
1,4.1535,-7.0813,0.8221,6.2509,False
5,4.1861,-8.1227,0.7372,6.2623,False
9,4.2122,-7.8891,0.6892,6.2020,False
12,4.2178,-1.5067,0.6501,4.3451,False
11,4.2590,11.2319,0.6535,5.1431,False
15,4.2673,3.6424,0.6308,5.9012,False
16,4.2762,12.5545,0.6267,5.3578,False
18,4.2886,-6.7748,0.5895,5.8777,False
19,4.3054,22.7162,0.5881,5.7795,False
7,4.3242,-7.2717,0.7029,6.2870,False
8,4.3280,8.6212,0.6986,5.4888,False
2,4.3578,-0.7951,0.7712,4.3010,False
10,4.3607,-6.6861,0.6642,6.0103,False
14,4.3665,10.6899,0.6343,5.6276,False
6,4.3756,-1.0157,0.7362,4.2107,False
