source_file,pose_idx,rmsd,gnina_score,cnn_score,cnn_affinity,pass_threshold
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,14,3.8436,9.10904,0.5749485493,5.4056930542,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,6,3.8808,-6.84623,0.7307680249,5.6040744781,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,6,3.8861,-6.85169,0.7356253266,5.6363339424,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,6,3.8985,-6.88351,0.850655973,5.8215174675,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,7,3.9024,-6.52874,0.7417928576,5.6781144142,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,8,3.9042,-6.44959,0.7165123224,5.5558457375,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,8,3.9047,-7.62478,0.6778060794,5.4821372032,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,9,3.9071,-1.15412,0.7018294334,5.3381266594,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,5,3.9084,-6.91751,0.8230210543,5.8009266853,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,9,3.9134,-7.05861,0.7493827939,5.7023873329,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,19,3.9173,7.43784,0.4519144297,4.1359591484,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,2,3.9187,-6.7415,0.8850724697,5.970559597,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,3,3.9242,-7.20119,0.8795794249,6.0495963097,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,10,3.9243,-6.88766,0.7046311498,5.662797451,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,12,3.9260,-2.94267,0.6655060053,4.6648459435,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,19,3.9292,7.47249,0.5128620863,5.5290808678,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,0,3.9342,-8.20471,0.9411160946,6.2197670937,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,4,3.9381,-7.13901,0.8884298801,6.0004973412,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,10,3.9389,-0.69035,0.6849861741,5.8494505882,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,14,3.9453,-6.48351,0.5927459598,5.1643781662,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,4,3.9507,-6.92764,0.8659054637,5.8645706177,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,7,3.9521,-7.21731,0.7211837173,5.8316607475,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,0,3.9688,-8.23104,0.955403924,6.2373847961,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,0,3.9706,-8.45945,0.9573469162,6.2406959534,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,7,3.9741,-7.36761,0.73237288,5.8260045052,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,0,3.9788,-8.34141,0.956476748,6.2421097755,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,5,3.9791,-5.80787,0.8152566552,5.8555417061,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,0,3.9814,-8.28945,0.9575606585,6.2501831055,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,0,3.9837,-8.30484,0.9574550986,6.2604994774,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,0,3.9866,-8.26568,0.9575070143,6.2565398216,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,18,3.9881,8.57397,0.4660174549,4.1401295662,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,10,3.9885,-7.32276,0.7164043188,5.799238205,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,9,3.9898,-7.3511,0.72907269,5.8220334053,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,7,3.9908,-7.35477,0.743078351,5.8591499329,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,15,4.0017,-0.33061,0.6280321479,4.9826979637,False
